Level,NACE,Description,CPRS Main,CPRS2,CPRS Granular,Note on CPRS,IAM,NGFS3,NOTESOnMapping
1,A,"AGRICULTURE, FORESTRY AND FISHING",6-agric. etc.,6-agric. etc|agriculture,n.a.,,,,
2,A.01,"Crop and animal production, hunting and related service activities",6-agric. etc.,6-agric. etc|agriculture,agric. etc|agriculture,At this stage activities in CPRS granular for Agriculture mapped are 1-1 with NACE 3 digits. It is possible to distinguish between high carbon and low carbon farming practices. It is not done here.,Agricultural Production|Non-Energy|Crops,Agricultural Production|Non-Energy|Crops,
3,A.01.1,Growing of non-perennial crops,6-agric. etc.,6-agric. etc|agriculture,agric. etc|agriculture|non-perennial crops,At this stage activities in CPRS granular for Agriculture mapped are 1-1 with NACE 3 digits. It is possible to distinguish between high carbon and low carbon farming practices. It is not done here.,Agricultural Production|Non-Energy|Crops,Agricultural Production|Non-Energy|Crops,
4,A.01.11,"Growing of cereals (except rice), leguminous crops and oil seeds",6-agric. etc.,6-agric. etc|agriculture,agric. etc|agriculture|non-perennial crops,At this stage activities in CPRS granular for Agriculture mapped are 1-1 with NACE 3 digits. It is possible to distinguish between high carbon and low carbon farming practices. It is not done here.,Agricultural Production|Non-Energy|Crops,Agricultural Production|Non-Energy|Crops,
4,A.01.12,Growing of rice,6-agric. etc.,6-agric. etc|agriculture,agric. etc|agriculture|non-perennial crops,At this stage activities in CPRS granular for Agriculture mapped are 1-1 with NACE 3 digits. It is possible to distinguish between high carbon and low carbon farming practices. It is not done here.,Agricultural Production|Non-Energy|Crops,Agricultural Production|Non-Energy|Crops,
4,A.01.13,"Growing of vegetables and melons, roots and tubers",6-agric. etc.,6-agric. etc|agriculture,agric. etc|agriculture|non-perennial crops,At this stage activities in CPRS granular for Agriculture mapped are 1-1 with NACE 3 digits. It is possible to distinguish between high carbon and low carbon farming practices. It is not done here.,Agricultural Production|Non-Energy|Crops,Agricultural Production|Non-Energy|Crops,
4,A.01.14,Growing of sugar cane,6-agric. etc.,6-agric. etc|agriculture,agric. etc|agriculture|non-perennial crops,At this stage activities in CPRS granular for Agriculture mapped are 1-1 with NACE 3 digits. It is possible to distinguish between high carbon and low carbon farming practices. It is not done here.,Agricultural Production|Non-Energy|Crops,Agricultural Production|Non-Energy|Crops,
4,A.01.15,Growing of tobacco,6-agric. etc.,6-agric. etc|agriculture,agric. etc|agriculture|non-perennial crops,At this stage activities in CPRS granular for Agriculture mapped are 1-1 with NACE 3 digits. It is possible to distinguish between high carbon and low carbon farming practices. It is not done here.,Agricultural Production|Non-Energy|Crops,Agricultural Production|Non-Energy|Crops,
4,A.01.16,Growing of fibre crops,6-agric. etc.,6-agric. etc|agriculture,agric. etc|agriculture|non-perennial crops,At this stage activities in CPRS granular for Agriculture mapped are 1-1 with NACE 3 digits. It is possible to distinguish between high carbon and low carbon farming practices. It is not done here.,Agricultural Production|Non-Energy|Crops,Agricultural Production|Non-Energy|Crops,
4,A.01.19,Growing of other non-perennial crops,6-agric. etc.,6-agric. etc|agriculture,agric. etc|agriculture|non-perennial crops,At this stage activities in CPRS granular for Agriculture mapped are 1-1 with NACE 3 digits. It is possible to distinguish between high carbon and low carbon farming practices. It is not done here.,Agricultural Production|Non-Energy|Crops,Agricultural Production|Non-Energy|Crops,
3,A.01.2,Growing of perennial crops,6-agric. etc.,6-agric. etc|agriculture,agric. etc|agriculture|perennial crops,At this stage activities in CPRS granular for Agriculture mapped are 1-1 with NACE 3 digits. It is possible to distinguish between high carbon and low carbon farming practices. It is not done here.,Agricultural Production|Non-Energy|Crops,Agricultural Production|Non-Energy|Crops,
4,A.01.21,Growing of grapes,6-agric. etc.,6-agric. etc|agriculture,agric. etc|agriculture|perennial crops,At this stage activities in CPRS granular for Agriculture mapped are 1-1 with NACE 3 digits. It is possible to distinguish between high carbon and low carbon farming practices. It is not done here.,Agricultural Production|Non-Energy|Crops,Agricultural Production|Non-Energy|Crops,
4,A.01.22,Growing of tropical and subtropical fruits,6-agric. etc.,6-agric. etc|agriculture,agric. etc|agriculture|perennial crops,At this stage activities in CPRS granular for Agriculture mapped are 1-1 with NACE 3 digits. It is possible to distinguish between high carbon and low carbon farming practices. It is not done here.,Agricultural Production|Non-Energy|Crops,Agricultural Production|Non-Energy|Crops,
4,A.01.23,Growing of citrus fruits,6-agric. etc.,6-agric. etc|agriculture,agric. etc|agriculture|perennial crops,At this stage activities in CPRS granular for Agriculture mapped are 1-1 with NACE 3 digits. It is possible to distinguish between high carbon and low carbon farming practices. It is not done here.,Agricultural Production|Non-Energy|Crops,Agricultural Production|Non-Energy|Crops,
4,A.01.24,Growing of pome fruits and stone fruits,6-agric. etc.,6-agric. etc|agriculture,agric. etc|agriculture|perennial crops,At this stage activities in CPRS granular for Agriculture mapped are 1-1 with NACE 3 digits. It is possible to distinguish between high carbon and low carbon farming practices. It is not done here.,Agricultural Production|Non-Energy|Crops,Agricultural Production|Non-Energy|Crops,
4,A.01.25,Growing of other tree and bush fruits and nuts,6-agric. etc.,6-agric. etc|agriculture,agric. etc|agriculture|perennial crops,At this stage activities in CPRS granular for Agriculture mapped are 1-1 with NACE 3 digits. It is possible to distinguish between high carbon and low carbon farming practices. It is not done here.,Agricultural Production|Non-Energy|Crops,Agricultural Production|Non-Energy|Crops,
4,A.01.26,Growing of oleaginous fruits,6-agric. etc.,6-agric. etc|agriculture,agric. etc|agriculture|perennial crops,At this stage activities in CPRS granular for Agriculture mapped are 1-1 with NACE 3 digits. It is possible to distinguish between high carbon and low carbon farming practices. It is not done here.,Agricultural Production|Non-Energy|Crops,Agricultural Production|Non-Energy|Crops,
4,A.01.27,Growing of beverage crops,6-agric. etc.,6-agric. etc|agriculture,agric. etc|agriculture|perennial crops,At this stage activities in CPRS granular for Agriculture mapped are 1-1 with NACE 3 digits. It is possible to distinguish between high carbon and low carbon farming practices. It is not done here.,Agricultural Production|Non-Energy|Crops,Agricultural Production|Non-Energy|Crops,
4,A.01.28,"Growing of spices, aromatic, drug and pharmaceutical crops",6-agric. etc.,6-agric. etc|agriculture,agric. etc|agriculture|perennial crops,At this stage activities in CPRS granular for Agriculture mapped are 1-1 with NACE 3 digits. It is possible to distinguish between high carbon and low carbon farming practices. It is not done here.,Agricultural Production|Non-Energy|Crops,Agricultural Production|Non-Energy|Crops,
4,A.01.29,Growing of other perennial crops,6-agric. etc.,6-agric. etc|agriculture,agric. etc|agriculture|perennial crops,At this stage activities in CPRS granular for Agriculture mapped are 1-1 with NACE 3 digits. It is possible to distinguish between high carbon and low carbon farming practices. It is not done here.,Agricultural Production|Non-Energy|Crops,Agricultural Production|Non-Energy|Crops,
3,A.01.3,Plant propagation,6-agric. etc.,6-agric. etc|agriculture,agric. etc|agriculture,At this stage activities in CPRS granular for Agriculture mapped are 1-1 with NACE 3 digits. It is possible to distinguish between high carbon and low carbon farming practices. It is not done here.,,,
4,A.01.30,Plant propagation,6-agric. etc.,6-agric. etc|agriculture,agric. etc|agriculture,At this stage activities in CPRS granular for Agriculture mapped are 1-1 with NACE 3 digits. It is possible to distinguish between high carbon and low carbon farming practices. It is not done here.,,,
3,A.01.4,Animal production,6-agric. etc.,6-agric. etc|agriculture,agric. etc|agriculture|livestock,At this stage activities in CPRS granular for Agriculture mapped are 1-1 with NACE 3 digits. It is possible to distinguish between high carbon and low carbon farming practices. It is not done here.,,,
4,A.01.41,Raising of dairy cattle,6-agric. etc.,6-agric. etc|agriculture,agric. etc|agriculture|livestock,At this stage activities in CPRS granular for Agriculture mapped are 1-1 with NACE 3 digits. It is possible to distinguish between high carbon and low carbon farming practices. It is not done here.,Agricultural Production|Non-Energy|Livestock,Agricultural Production|Non-Energy|Livestock,
4,A.01.42,Raising of other cattle and buffaloes,6-agric. etc.,6-agric. etc|agriculture,agric. etc|agriculture|livestock,At this stage activities in CPRS granular for Agriculture mapped are 1-1 with NACE 3 digits. It is possible to distinguish between high carbon and low carbon farming practices. It is not done here.,Agricultural Production|Non-Energy|Livestock,Agricultural Production|Non-Energy|Livestock,
4,A.01.43,Raising of horses and other equines,6-agric. etc.,6-agric. etc|agriculture,agric. etc|agriculture|livestock,At this stage activities in CPRS granular for Agriculture mapped are 1-1 with NACE 3 digits. It is possible to distinguish between high carbon and low carbon farming practices. It is not done here.,Agricultural Production|Non-Energy|Livestock,Agricultural Production|Non-Energy|Livestock,
4,A.01.44,Raising of camels and camelids,6-agric. etc.,6-agric. etc|agriculture,agric. etc|agriculture|livestock,At this stage activities in CPRS granular for Agriculture mapped are 1-1 with NACE 3 digits. It is possible to distinguish between high carbon and low carbon farming practices. It is not done here.,Agricultural Production|Non-Energy|Livestock,Agricultural Production|Non-Energy|Livestock,
4,A.01.45,Raising of sheep and goats,6-agric. etc.,6-agric. etc|agriculture,agric. etc|agriculture|livestock,At this stage activities in CPRS granular for Agriculture mapped are 1-1 with NACE 3 digits. It is possible to distinguish between high carbon and low carbon farming practices. It is not done here.,Agricultural Production|Non-Energy|Livestock,Agricultural Production|Non-Energy|Livestock,
4,A.01.46,Raising of swine/pigs,6-agric. etc.,6-agric. etc|agriculture,agric. etc|agriculture|livestock,At this stage activities in CPRS granular for Agriculture mapped are 1-1 with NACE 3 digits. It is possible to distinguish between high carbon and low carbon farming practices. It is not done here.,Agricultural Production|Non-Energy|Livestock,Agricultural Production|Non-Energy|Livestock,
4,A.01.47,Raising of poultry,6-agric. etc.,6-agric. etc|agriculture,agric. etc|agriculture|livestock,At this stage activities in CPRS granular for Agriculture mapped are 1-1 with NACE 3 digits. It is possible to distinguish between high carbon and low carbon farming practices. It is not done here.,Agricultural Production|Non-Energy|Livestock,Agricultural Production|Non-Energy|Livestock,
